total_spending_usd,artist_id,artist_name,n_collection,collected_artists,page_link,twitter
188841.70825700002,norcal_guy,norcal_guy,104,artofcrixtoveredwin;qfilmstv;perpetual_cgi;noealz;anocam;cw;hemeon;anocam;elenalitver;zhuk;lisannehaack;anocam;agk42;cw;anocam;oanadu;noealz;dotstolines;jeremybooth;cnnnr;zhuk;maini;19tones;alexameade;alexameade;vel;klepikovadaria;dreddnova;qfilmstv;ektz_;hemeon;olva;nopattern;axshay;klepikovadaria;healingvisions;oanadu;arnokiss;griff;raid71;volny;sekani;mzkvisuals;yagizkocabiyik;markweaver;elenalitver;dreddnova;healingvisions;chaske;fedosart;klepikovadaria;chriswahl;jarvinart;3n19ma;rvrsplay;duncanrogoff;axshay;andreaspreis;metinakcakoca;_brianmorris_;jarvinart;aleyartist;laserlewdude;chriswahl;_marklindner_;tektober;tonyskeor;rosalvomelo;_brianmorris_;eboy;nenado666;andreaspreis;maini;eclecticmethod;_brianmorris_;andreaspreis;bloomjr;anveshdunna;lvcidartt;nopattern;fedosart;andreaspreis;jaxsonpohlman;ankitkapoor;fraserdavidson;healingvisions;signalnoise;jamfactory;timriopelle;nopattern;fraserdavidson;timboelaars;dougy;jeffhandesign;griff;dougy;timriopelle;pixelactivist;nopattern;raccoonnook;onderwish;doublea;sloppyj44;jamfactory,https://foundation.app/norcal_guy,
174882.36597400004,veritaskami,veritaskami,55,allo;allo;allo;anocam;onhel;ally;artofcrixtoveredwin;rolzay;kedarthesage;buymyartbeforeidie;nedo;agk42;artofcrixtoveredwin;anocam;allo;blake;blake;blake;theartofpri;artofcrixtoveredwin;dianaesinclair;davidbenzal;junglesymbol;anocam;artsygamex;mypandashallfly;dashxcrash;8bithiphop;zak_krevitt;hemisveer;shihanwashere;luistoledo;jayt;allo;anocam;jordanlloyd;shihanwashere;luluxxx;allo;aaronricketts;cryptoblue;allo;axellim;cryptoblue;scott_visuals;allo;allo;jaimejones;paulsnijder;littleshrow;aaronricketts;gabrieldeanroberts;richtu;richtu;obake_ai,https://foundation.app/veritaskami,https://twitter.com/veritaskami
170879.117317,y_kymin,Matt,18,justinmaller;markmalta;oscarpettersson;rolzay;deekaymotion;blunt_action;flight404;no-conform;musketon;mattey;redoxium;markusgonser3d;michaelgreen;jazsi;savagedogs;baka;gregcooperrr;younggunmotion,https://foundation.app/y_kymin,
168732.81689800002,the_alchemist,@the_alchemist,78,paulbirman;xenon;martisha;juusohd;paulbirman;jacobs;gabrielmoreno;jacobs;qfilmstv;jeffsoto;dariodesiena;juanramos;eduard_ov;martiancandy;diniharistd;jpierce;cyrusjameskhan;rolzay;evanmendoza;25m42;kaiwan;bluboy;nathanhead;barnim;dennybusyet;shavonnewong;itsdevansh;labrosse;bhmd;dennybusyet;isabelcamille;frankmoth;camibus;afroscope;sekani;ollorens;jenk;rabbit_hole;iy;waarp;weirdcore;waltondesign;griff;rubahitam;jeremybooth;dreambeam;mavroses;markrenders;nic_hamilton;shavonnewong;aluben;victorvdr9;boredelonmusk;kaleb;davidostudio;archannair;claudio;rabbit_hole;captvart;perrycooper;khyatitrehan;thedizzyviper;sad_folder;shindo;alnboltnoldwallet;doublea;kylegordonart;stuballingerart;sergeposters;mus1tie;petertarka;onderwish;iartsometimes;zach.lieberman;gregcooperrr;jstn;gold;sveneberwein,https://foundation.app/the_alchemist,
153781.01105099998,freezedrychief,freezedrychief,96,r0yart;trnvirsingh;etja;imphotoartist;oveck;haftkhani;madmaraca;hemisveer;vivek_chaurasia;vinpan;roogomes;talithakingart;suvam;doxiastudio;pulkit;imphotoartist;kiani;diniharistd;jpegv1;jpegv1;jpegv1;jjcworks;nadamel;raphaelerba;bruno;lineysfilm;imahmedamin;frankxtown;dariaprostova;jarvinart;juusohd;ruiduarte;gio_roman87;katyahavok;artsygamex;metinakcakoca;marcozagara;vertigo;mbg_core;teeparty;shahub;damnengine;dreddnova;overlyobvious;fivetimesno;doxiastudio;cryptousart;classypaints;paulbirman;nocivo_hq;simgeaydin;florian_dks;shagun_damadia;diniharistd;raphaelerba;mbg_core;rahimmahtab;stuballingerart;vertigo;pulkit;jovi;ruiduarte;etja;maxtwain;dmitryzakharov;ko0oz;mbg_core;robinf;paulbirman;kellyrobitaille;marnik;vertigo;n8;shahub;kriezdada;n8;spindemul;trnvirsingh;dechambo;teovfx;yeseong_k;clintonlofthouse;paulbirman;jonnyedward;timcet;jrmy_wlkr;visualpotions;vertigo;jonnyedward;damnengine;overfiend;hemisveer;jpegv1;raphaellacoste;oak;nolanmartinart,https://foundation.app/freezedrychief,https://twitter.com/freezedrychief
125793.45879799996,Spacecowboy,Spacecowboy,30,lakshepassion;lcrossart;bel;madboogie;dimithryvictor;twei;dimithryvictor;juancarlospagan;mitchmyersofficial;mattey;jeffsoto;roogomes;juancarlospagan;ajd;ohnehals;juancarlospagan;alishachuiko;lebeau;mitchmyersofficial;musketon;heartaake;boredelonmusk;pamikov;archannair;jackmcveigh;blakekathryn;ravivora;thebathwater;captvart;mbsjq,https://foundation.app/Spacecowboy,
123519.761886,yourethememenowdog,@yourethememenowdog,4,gudim;extraterra;keyboardcat;realscumbagsteve,https://foundation.app/yourethememenowdog,
115718.74600000001,jonathan,Jonathan,20,lostkeep;pamikov;pamikov;pamikov;fmacmanus;missreliah;daverapoza;robbietrevino;moonandme;arisroth;sergeposters;tomaszmro;vormwelt;frickltd;skeeva;baugasm;catelloo;osaki;qfilmstv;jacques,https://foundation.app/jonathan,
109067.01474999996,rudy,@rudy,43,emilio;jonburgerman;emilsvfx;denisanegrea;wyneveen;cachou;nicolasdnl;kiankhiaban;gozdemutluer;katherine;moeen;katherine;benhaleymade;poorteffy;tjohnatan;nocellcoverage;lisaodt;rivenribbon;maxosiris;temicoker;aaronricketts;franciswilliam;jshulmanartist;cslim;raphaellacoste;verehin;reedandrader;manards;loafgren;danieltaylor;kvlsqz;anniecollinge;darrenfuckingcraig;jonburgerman;rabbit_hole;helencrispin;iartsometimes;jzlabs;zach.lieberman;seth;pixlpa;jstn;dom,https://foundation.app/rudy,
100465.44317699998,unblock,unblock.gallery,80,rizacankumas;rizacankumas;oizo3000;rizacankumas;vertigo;flaviosamelo;comp_ot;bat__max;alexniceartist;lisaodt;katietorn;mayabsound;lup3d;rizacankumas;petertheroman;paschamo;giantrobot;joakorhonen;markweaver;rizacankumas;jmarino_vfx;dechambo;a_zinkov;hoshi;panthermodern;raminnasibov;lutfuer;rizacankumas;hemisveer;michaelpage;fredericofelix;alexkonstad;vertigo;drewcoffman;teemu;8horses;followmeto;leftandlost;000000snf;alexkonstad;cherifkid;dechambo;cherifkid;mnaumanndesign;katherine;gabrielrud;blindisland;sedna;se;dechambo;primerender;orhan_sayin;cryptocrystals;afterform;cryptocrystals;bat__max;kenza;ixshells;meiravhaber;vioba;geoffreylillemon;vj_yarkus;alexkonstad;ravi;beambot;teemu;sterlingcrispin;vertigo;jaimejones;vioba;fawkes;gossipgoblin;kishkinandrew;sawdust;pixelactivist;kellyrobitaille;solyaev;theartofsaul;katherine;katherine,https://foundation.app/unblock,https://twitter.com/unblockgallery
