token_id,creator,listing_date,listing_amt
2.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,1622312534,2.5
2.0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,1611689577,0.373468
3.0,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,1611272958,1.12
4.0,0x080b6202c0a5c464799e1e5a4aa7325eace9a5e1,1611286202,1.75
5.0,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,1611292587,0.1
6.0,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1611335363,0.5
8.0,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1611341627,0.5
9.0,0x47edbd307180556dbbeb5beabd8a40ac30520f57,1611358797,0.75
10.0,0x47edbd307180556dbbeb5beabd8a40ac30520f57,1611359400,0.75
11.0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,1611689953,0.37305
12.0,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,1611689995,0.373
12.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,1622334820,2.5
13.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1611438409,0.3
14.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1611443820,0.3
15.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1611444183,0.3
16.0,0x12c84fa74c86184ac1b5bfe67e06354d708489a9,1611662659,0.696969
17.0,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,1611512203,0.58
18.0,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,1611523355,0.58
19.0,0x334022d77bfc9e8aa5b34907873457c545d9faf2,1611527451,0.3
20.0,0x334022d77bfc9e8aa5b34907873457c545d9faf2,1611527884,0.3
21.0,0xc46aa1c8ecd21eced811ec5b93bef4af3b54597d,1611643886,1.2
22.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1611580078,0.3
23.0,0x38e3767f996fcbde771e76f3f7aea69521fb8fb9,1612014515,1.5
24.0,0x334022d77bfc9e8aa5b34907873457c545d9faf2,1611616680,0.3
25.0,0x47edbd307180556dbbeb5beabd8a40ac30520f57,1611622626,0.75
26.0,0xb00f41cb3fe1fe17c26136b49cc156f75547f552,1611635646,1.024
27.0,0xb00f41cb3fe1fe17c26136b49cc156f75547f552,1611636130,0.4096
29.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,1623956247,3
29.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1611699723,1
30.0,0xfddbe64dab03ff215569ce18780372d1219a7272,1611714192,0.3
31.0,0xd3f248c1004cab5d51eb50b05829b1614a277c8a,1611718586,0.69
31.0,0x89d349cac2fcda7c9e87e9cd261b1828304df3e0,1622346061,6.89
32.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,1620448958,1.2
32.0,0x88d01d4354da0d65c38b0196c4400525a5eebe17,1611720097,1.11
33.0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1611768867,0.4
34.0,0xdc0753f6b3cc6034317b73c10413c19958d36ed1,1622005202,15
34.0,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1611740451,0.5
35.0,0x38f3630434552f176c2b1e3ead78be925f9453eb,1611781093,1
36.0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1611769506,0.4
37.0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1611773803,0.4
38.0,0x65fc07ebade4d56751b0d12ba49cb2425493e339,1611777817,6
39.0,0x0d5387a3ee2466dbac658dd18033e303bfb26ab0,1611794536,3
40.0,0x30ba084d347d88cf2e4f70db99403c8f672e66fd,1611789686,1.9
41.0,0x8c5461d9b6992d12fad3ae70943066bd32f9a86c,1611808335,1
43.0,0x30ba084d347d88cf2e4f70db99403c8f672e66fd,1611827718,1.75
44.0,0x30ba084d347d88cf2e4f70db99403c8f672e66fd,1611830613,1.75
45.0,0x30ba084d347d88cf2e4f70db99403c8f672e66fd,1611831234,1.75
46.0,0x3925367b1b583f2ea357adfd77f19de24971ebd0,1611863292,1.25
47.0,0x11c75f3480e23755ee25273e1344875499260c6e,1611868849,1.5
49.0,0x080b6202c0a5c464799e1e5a4aa7325eace9a5e1,1611897754,1.25
50.0,0x9efb55773f8c02fc4837792cced53ff8af18ba1e,1612052159,0.1458
51.0,0x49a75138db6370d91a74856d5847e57c8454916e,1612326455,1.25
52.0,0x12c84fa74c86184ac1b5bfe67e06354d708489a9,1612075129,0.9999
53.0,0xb55d612f7ff827e5805e978c049108c2717a7e33,1612100603,0.75
54.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,1622351778,1.5
54.0,0xb55d612f7ff827e5805e978c049108c2717a7e33,1612100761,0.75
55.0,0xb55d612f7ff827e5805e978c049108c2717a7e33,1612100747,0.75
56.0,0x88d01d4354da0d65c38b0196c4400525a5eebe17,1612143884,1.11
57.0,0xcd54f6bf098c9869ceccffcab0089fee8786a7d2,1612146506,0.27
58.0,0xcd54f6bf098c9869ceccffcab0089fee8786a7d2,1612146585,0.27
59.0,0xcd54f6bf098c9869ceccffcab0089fee8786a7d2,1612224506,0.27
60.0,0x62fa3459bbbfd55495f25effae5c20686e1dad9f,1612262992,1.9
61.0,0xb9c8910c5e29707be6a8241b43c07c4a6d6b1b67,1612182100,1
62.0,0xd90ec9dc6f220be43ad88f3eff78fbd00d8fd1d6,1612199643,0.333
63.0,0xeb418e53efcdc351137c9a81c70967b8d7063f4c,1612199999,1.5
64.0,0xfe13ed997281425cfbebd0176cd18c62a70be66e,1612222940,3
65.0,0x49fbd13846f2428c148a4c165a22b4ffa54263a4,1612223858,1
65.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,1620359870,1.5
66.0,0x92201792d9f9465a6249002b07b4ae7017a970d1,1612229674,1.75
67.0,0xd3f248c1004cab5d51eb50b05829b1614a277c8a,1612274858,0.666
68.0,0x10e22c958318037d308545fee32691ec6d6cdd30,1612262521,2.5
69.0,0x10e22c958318037d308545fee32691ec6d6cdd30,1612279444,2.5
70.0,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,1621971894,5
70.0,0x10e22c958318037d308545fee32691ec6d6cdd30,1612279481,2.5
71.0,0x75fafe0de0d0c341f027a2fbbc6f30ac30c02a8a,1612308188,1
72.0,0x651144fe278d33681fc68a59770870c5324960fb,1612274378,1.6
73.0,0x651144fe278d33681fc68a59770870c5324960fb,1614405870,1.6
74.0,0x3d7d76b733130af19e998c45a6144057bd26055d,1614720274,0.1129
75.0,0x91f6c4d8d5438bc0b76e6b8afa9a75ba64559483,1612294155,0.5
75.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,1622521579,0.6
75.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,1620448958,1
77.0,0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00,1612296261,1
78.0,0x15ecac227795409df99d2703de3478e115307bd5,1612357963,0.5
79.0,0x895df857cdd03106e82fa759cb881937aec8dd83,1612298909,1.33
80.0,0x49a75138db6370d91a74856d5847e57c8454916e,1612668254,0.5
81.0,0xe1ddd5523094508a532d916aa4f7caf76a716aa7,1612311512,0.666
82.0,0xe1ddd5523094508a532d916aa4f7caf76a716aa7,1612311897,0.666
83.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612313814,1
84.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612317562,1
85.0,0x49a75138db6370d91a74856d5847e57c8454916e,1614391656,0.25
86.0,0x5e080d8b14c1da5936509c2c9ef0168a19304202,1612323843,1
88.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612324221,1
88.0,0x0d4ddea3849c54e16c85cb4354943dc876e05552,1620688662,2.5
89.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612328859,1
90.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612333210,1
90.0,0x0d4ddea3849c54e16c85cb4354943dc876e05552,1623609465,5
91.0,0xe00712086490734ef8b4d72839a7237e505767f5,1612352445,1
92.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,1612338863,1
