token_id,bidder_id,creator,bidding_amt,bid_date
2.0,0xb188ee1daca51ce6b58ccf8a81ce4025a714bc73,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.43,1612394715
2.0,0x93730ce5ac9de1db9f3fbb73bf522a690629ccec,0x2b65a808d0d5d54cdbb701b82d814374b812a4b8,0.3735,1612378795
3.0,0x65c8c8b156a1d1a9488bd2be3798dfc417ecee45,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,3.5,1612437649
3.0,0xc88ebc63c3126e9f37a46c1cf55b0e79c9cc20e2,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,3,1612376558
3.0,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0x376884df6fb55bfa319d703bc1ac5091ef479ff5,1.1201,1612376298
4.0,0xa7b137e4684e8cf7b3a1958d5ceccab66e590dc0,0x080b6202c0a5c464799e1e5a4aa7325eace9a5e1,1.75,1614092714
5.0,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.14,1612385823
5.0,0x119ebc037f052da7fd89ebf124c11c7b652f8438,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.1101,1612376473
5.0,0xd906979081fcb040f00213e86fb887a12de2c495,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.25,1612397393
5.0,0xd4a3fbd2434c9c1e846a039be62050a08b9fe783,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.3,1612462429
5.0,0xf6fdee29e3a14610fdbe187e2d3442543cfa45b8,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.1212,1612378063
5.0,0xd906979081fcb040f00213e86fb887a12de2c495,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.35,1612462470
5.0,0xf6fdee29e3a14610fdbe187e2d3442543cfa45b8,0x87042da39c06b0f85b435e5ec8ce2b15ec7bd700,0.1,1612376120
6.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.25,1612463642
6.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,2.2759,1612467240
6.0,0xb4103329230db58ea6e2480e4022b577833600df,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.6,1612376784
6.0,0xb3b1a1193a0b7b48b46efc3c86b614b152c257d5,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.1,1612463194
6.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.859,1612465849
6.0,0xb3b1a1193a0b7b48b46efc3c86b614b152c257d5,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.825,1612462421
6.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.5126,1612464733
6.0,0x8a32af4affd816978c2fdfa7c08c27681d05d4fe,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.75,1612384591
6.0,0xb3b1a1193a0b7b48b46efc3c86b614b152c257d5,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.375,1612463971
6.0,0x8a32af4affd816978c2fdfa7c08c27681d05d4fe,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,2.069,1612466595
6.0,0x8a32af4affd816978c2fdfa7c08c27681d05d4fe,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1.69,1612465210
6.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1,1612462795
8.0,0xb3b1a1193a0b7b48b46efc3c86b614b152c257d5,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.55,1612462226
8.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,1,1612463012
8.0,0x1f2fc9ee909929aeeb7438de22c426b6a6874413,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.5,1612376418
8.0,0xb3b1a1193a0b7b48b46efc3c86b614b152c257d5,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.77,1612462935
8.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x0a6f9ee15659dd25da0d598093452fa7acdd4090,0.7,1612462535
9.0,0xdc0753f6b3cc6034317b73c10413c19958d36ed1,0x47edbd307180556dbbeb5beabd8a40ac30520f57,0.75,1612378480
9.0,0x4defa30195094963cfac7285d8d6e6e523c7f90d,0x47edbd307180556dbbeb5beabd8a40ac30520f57,0.825,1612379370
